epoch,loss,mae,mse
0,26835.554756375943,144.44649,26835.555
1,26744.48254486776,144.13069,26744.48
2,26655.31413334383,143.81664,26655.312
3,26565.870424669396,143.50932,26565.871
4,26479.261620355792,143.20442,26479.262
5,26392.706076826198,142.90108,26392.705
6,26306.984416817537,142.5987,26306.984
7,26222.357357918765,142.302,26222.36
8,26138.067719812658,142.0092,26138.068
9,26056.117536799433,141.71446,26056.12
